fixture_id,league_id,season,date,team_id,opponent_team_id,is_home,goals_for,goals_against,minutes_total,shots_total,shots_on,fouls_committed,fouls_drawn,yellow_cards,red_cards,duels_total,duels_won,tackles,dribbles
1378969,39,2025,2025-08-15T19:00:00+00:00,35,40,False,2,4,999.0,7.0,3.0,10.0,6.0,2,0,115.0,52.0,20.0,19.0
1378969,39,2025,2025-08-15T19:00:00+00:00,40,35,True,4,2,995.0,17.0,10.0,7.0,10.0,1,0,115.0,63.0,16.0,17.0
1378970,39,2025,2025-08-16T11:30:00+00:00,34,66,False,0,0,993.0,9.0,3.0,11.0,13.0,1,0,83.0,43.0,10.0,10.0
1378970,39,2025,2025-08-16T11:30:00+00:00,66,34,True,0,0,973.0,3.0,3.0,13.0,11.0,1,1,83.0,40.0,11.0,15.0
1378971,39,2025,2025-08-16T14:00:00+00:00,36,51,False,1,1,1002.0,6.0,2.0,15.0,16.0,3,0,95.0,44.0,15.0,13.0
1378971,39,2025,2025-08-16T14:00:00+00:00,51,36,True,1,1,1002.0,9.0,4.0,16.0,15.0,3,0,95.0,51.0,19.0,11.0
1378972,39,2025,2025-08-17T13:00:00+00:00,55,65,False,1,3,998.0,7.0,3.0,15.0,5.0,2,0,93.0,41.0,18.0,12.0
1378972,39,2025,2025-08-17T13:00:00+00:00,65,55,True,3,1,998.0,9.0,5.0,7.0,15.0,1,0,93.0,52.0,12.0,15.0
1378973,39,2025,2025-08-16T14:00:00+00:00,48,746,False,0,3,993.0,6.0,4.0,10.0,8.0,1,0,88.0,46.0,12.0,15.0
1378973,39,2025,2025-08-16T14:00:00+00:00,746,48,True,3,0,993.0,9.0,5.0,8.0,10.0,0,0,88.0,42.0,14.0,7.0
1378974,39,2025,2025-08-16T14:00:00+00:00,44,47,False,0,3,998.0,11.0,4.0,8.0,14.0,0,0,92.0,45.0,6.0,10.0
1378974,39,2025,2025-08-16T14:00:00+00:00,47,44,True,3,0,997.0,15.0,6.0,14.0,7.0,0,0,92.0,47.0,12.0,14.0
1378975,39,2025,2025-08-16T16:30:00+00:00,39,50,True,0,4,995.0,6.0,3.0,13.0,7.0,1,0,97.0,42.0,25.0,9.0
1378975,39,2025,2025-08-16T16:30:00+00:00,50,39,False,4,0,995.0,11.0,4.0,7.0,13.0,2,0,97.0,55.0,18.0,25.0
1378976,39,2025,2025-08-17T13:00:00+00:00,49,52,True,0,0,994.0,10.0,3.0,10.0,10.0,2,0,99.0,52.0,13.0,24.0
1378976,39,2025,2025-08-17T13:00:00+00:00,52,49,False,0,0,998.0,7.0,4.0,12.0,10.0,3,0,99.0,47.0,16.0,7.0
1378977,39,2025,2025-08-17T15:30:00+00:00,33,42,True,0,1,994.0,14.0,7.0,10.0,19.0,1,0,123.0,70.0,22.0,13.0
1378977,39,2025,2025-08-17T15:30:00+00:00,42,33,False,1,0,995.0,6.0,3.0,19.0,10.0,4,0,123.0,53.0,18.0,25.0
1378978,39,2025,2025-08-18T19:00:00+00:00,45,63,False,0,1,999.0,4.0,1.0,8.0,6.0,2,0,92.0,47.0,16.0,18.0
1378978,39,2025,2025-08-18T19:00:00+00:00,63,45,True,1,0,994.0,10.0,3.0,6.0,7.0,0,0,92.0,45.0,15.0,15.0
1378979,39,2025,2025-08-23T16:30:00+00:00,42,63,True,5,0,995.0,14.0,5.0,8.0,11.0,0,0,81.0,48.0,13.0,24.0
1378979,39,2025,2025-08-23T16:30:00+00:00,63,42,False,0,5,995.0,1.0,1.0,11.0,8.0,2,0,81.0,33.0,17.0,12.0
1378980,39,2025,2025-08-23T14:00:00+00:00,35,39,True,1,0,1006.0,9.0,4.0,13.0,16.0,2,0,109.0,45.0,12.0,22.0
1378980,39,2025,2025-08-23T14:00:00+00:00,39,35,False,0,1,952.0,4.0,1.0,16.0,13.0,4,1,109.0,64.0,21.0,8.0
1378981,39,2025,2025-08-23T14:00:00+00:00,55,66,True,1,0,1005.0,6.0,2.0,11.0,9.0,1,0,111.0,61.0,29.0,14.0
1378981,39,2025,2025-08-23T14:00:00+00:00,66,55,False,0,1,994.0,9.0,2.0,9.0,11.0,2,0,111.0,50.0,14.0,23.0
1378982,39,2025,2025-08-23T14:00:00+00:00,44,746,True,2,0,1005.0,6.0,2.0,9.0,5.0,0,0,93.0,45.0,22.0,11.0
1378982,39,2025,2025-08-23T14:00:00+00:00,746,44,False,0,2,995.0,4.0,1.0,5.0,9.0,1,0,93.0,48.0,18.0,9.0
1378983,39,2025,2025-08-24T13:00:00+00:00,52,65,True,1,1,998.0,8.0,4.0,11.0,11.0,3,0,94.0,49.0,20.0,7.0
1378983,39,2025,2025-08-24T13:00:00+00:00,65,52,False,1,1,1005.0,8.0,1.0,11.0,10.0,3,0,94.0,45.0,12.0,18.0
1378984,39,2025,2025-08-24T13:00:00+00:00,45,51,True,2,0,993.0,10.0,3.0,7.0,15.0,4,0,117.0,70.0,15.0,16.0
1378984,39,2025,2025-08-24T13:00:00+00:00,51,45,False,0,2,1000.0,9.0,4.0,15.0,6.0,3,0,117.0,47.0,17.0,13.0
1378985,39,2025,2025-08-24T15:30:00+00:00,33,36,False,1,1,1005.0,9.0,3.0,10.0,11.0,1,0,94.0,53.0,17.0,7.0
1378985,39,2025,2025-08-24T15:30:00+00:00,36,33,True,1,1,994.0,8.0,4.0,12.0,9.0,1,0,94.0,41.0,10.0,13.0
1378986,39,2025,2025-08-23T11:30:00+00:00,47,50,False,2,0,997.0,10.0,5.0,12.0,7.0,4,0,98.0,47.0,24.0,23.0
1378986,39,2025,2025-08-23T11:30:00+00:00,50,47,True,0,2,995.0,7.0,4.0,7.0,12.0,1,0,98.0,51.0,20.0,15.0
1378987,39,2025,2025-08-25T19:00:00+00:00,34,40,True,2,3,948.0,7.0,3.0,17.0,15.0,2,1,102.0,51.0,12.0,17.0
1378987,39,2025,2025-08-25T19:00:00+00:00,40,34,False,3,2,1004.0,4.0,4.0,15.0,16.0,3,0,102.0,51.0,13.0,8.0
1378988,39,2025,2025-08-22T19:00:00+00:00,48,49,True,1,5,991.0,9.0,4.0,7.0,9.0,0,0,84.0,39.0,11.0,15.0
1378988,39,2025,2025-08-22T19:00:00+00:00,49,48,False,5,1,995.0,11.0,7.0,10.0,7.0,1,0,84.0,45.0,19.0,8.0
1378989,39,2025,2025-08-31T18:00:00+00:00,52,66,False,3,0,1006.0,5.0,4.0,14.0,7.0,3,0,85.0,48.0,26.0,8.0
1378989,39,2025,2025-08-31T18:00:00+00:00,66,52,True,0,3,1006.0,12.0,4.0,7.0,13.0,2,0,85.0,37.0,11.0,15.0
1378990,39,2025,2025-08-31T13:00:00+00:00,50,51,False,1,2,1008.0,11.0,3.0,14.0,15.0,2,0,105.0,58.0,15.0,23.0
1378990,39,2025,2025-08-31T13:00:00+00:00,51,50,True,2,1,990.0,9.0,7.0,16.0,13.0,2,0,105.0,47.0,17.0,14.0
1378991,39,2025,2025-08-30T11:30:00+00:00,36,49,False,0,2,999.0,9.0,3.0,17.0,11.0,2,0,116.0,56.0,29.0,15.0
1378991,39,2025,2025-08-30T11:30:00+00:00,49,36,True,2,0,990.0,7.0,6.0,11.0,16.0,2,0,116.0,60.0,19.0,19.0
1378992,39,2025,2025-08-30T16:30:00+00:00,34,63,False,0,0,990.0,5.0,2.0,15.0,10.0,1,0,84.0,37.0,10.0,13.0
1378992,39,2025,2025-08-30T16:30:00+00:00,63,34,True,0,0,990.0,7.0,1.0,10.0,15.0,1,0,84.0,47.0,18.0,12.0
1378993,39,2025,2025-08-31T15:30:00+00:00,40,42,True,1,0,999.0,5.0,3.0,7.0,10.0,2,0,70.0,38.0,11.0,14.0
1378993,39,2025,2025-08-31T15:30:00+00:00,42,40,False,0,1,999.0,4.0,1.0,10.0,7.0,2,0,70.0,32.0,14.0,8.0
1378994,39,2025,2025-08-30T14:00:00+00:00,33,44,True,3,2,1002.0,19.0,6.0,9.0,8.0,1,0,102.0,49.0,16.0,11.0
1378994,39,2025,2025-08-30T14:00:00+00:00,44,33,False,2,3,1002.0,4.0,3.0,9.0,9.0,5,0,102.0,53.0,20.0,5.0
1378995,39,2025,2025-08-31T13:00:00+00:00,48,65,False,3,0,990.0,12.0,8.0,6.0,13.0,0,0,90.0,47.0,16.0,19.0
1378995,39,2025,2025-08-31T13:00:00+00:00,65,48,True,0,3,1010.0,6.0,3.0,14.0,6.0,0,0,90.0,43.0,19.0,15.0
1378996,39,2025,2025-08-30T14:00:00+00:00,55,746,False,1,2,999.0,6.0,4.0,12.0,10.0,2,0,114.0,49.0,9.0,22.0
1378996,39,2025,2025-08-30T14:00:00+00:00,746,55,True,2,1,1000.0,9.0,3.0,11.0,10.0,3,0,114.0,65.0,28.0,7.0
1378997,39,2025,2025-08-30T14:00:00+00:00,35,47,False,1,0,990.0,15.0,6.0,13.0,17.0,4,0,125.0,69.0,28.0,16.0
1378997,39,2025,2025-08-30T14:00:00+00:00,47,35,True,0,1,990.0,4.0,1.0,17.0,13.0,2,0,125.0,56.0,16.0,27.0
1378998,39,2025,2025-08-30T14:00:00+00:00,39,45,True,2,3,990.0,7.0,4.0,15.0,9.0,0,0,110.0,47.0,23.0,11.0
1378998,39,2025,2025-08-30T14:00:00+00:00,45,39,False,3,2,997.0,6.0,4.0,10.0,15.0,1,0,110.0,63.0,16.0,20.0
